Season,#,Team,Points,MP,W,D,L,GF,GA,GD
15/16,1,FC Barcelona,91,38,29,4,5,112,29,83
15/16,2,Real Madrid,90,38,28,6,4,110,34,76
15/16,3,Atlético Madrid,88,38,28,4,6,63,18,45
15/16,4,Villarreal CF,64,38,18,10,10,44,35,9
15/16,5,Athletic,62,38,18,8,12,58,45,13
15/16,6,RC Celta,60,38,17,9,12,51,59,-8
15/16,7,Sevilla FC,52,38,14,10,14,51,50,1
15/16,8,Málaga CF,48,38,12,12,14,38,35,3
15/16,9,Real Sociedad,48,38,13,9,16,45,48,-3
15/16,10,Real Betis,45,38,11,12,15,34,52,-18
15/16,11,UD Las Palmas,44,38,12,8,18,45,53,-8
15/16,12,Valencia CF,44,38,11,11,16,46,48,-2
15/16,13,SD Eibar,43,38,11,10,17,49,61,-12
15/16,14,RCD Espanyol,43,38,12,7,19,40,74,-34
15/16,15,RC Deportivo,42,38,8,18,12,45,61,-16
15/16,16,Granada CF,39,38,10,9,19,46,69,-23
15/16,17,Real Sporting,39,38,10,9,19,40,62,-22
15/16,18,Rayo Vallecano,38,38,9,11,18,52,73,-21
15/16,19,Getafe CF,36,38,9,9,20,37,67,-30
15/16,20,Levante UD,32,38,8,8,22,37,70,-33
16/17,1,Real Madrid,93,38,29,6,3,106,41,65
16/17,2,FC Barcelona,90,38,28,6,4,116,37,79
16/17,3,Atlético Madrid,78,38,23,9,6,70,27,43
16/17,4,Sevilla FC,72,38,21,9,8,69,49,20
16/17,5,Villarreal CF,67,38,19,10,9,56,33,23
16/17,6,Real Sociedad,64,38,19,7,12,59,53,6
16/17,7,Athletic,63,38,19,6,13,53,43,10
16/17,8,RCD Espanyol,56,38,15,11,12,49,50,-1
16/17,9,Alavés,55,38,14,13,11,41,43,-2
16/17,10,SD Eibar,54,38,15,9,14,56,51,5
16/17,11,Málaga CF,46,38,12,10,16,49,55,-6
16/17,12,Valencia CF,46,38,13,7,18,56,65,-9
16/17,13,RC Celta,45,38,13,6,19,53,69,-16
16/17,14,UD Las Palmas,39,38,10,9,19,53,74,-21
16/17,15,Real Betis,39,38,10,9,19,41,64,-23
16/17,16,RC Deportivo,36,38,8,12,18,43,61,-18
16/17,17,CD Leganés,35,38,8,11,19,36,55,-19
16/17,18,Real Sporting,31,38,7,10,21,42,72,-30
16/17,19,CA Osasuna,22,38,4,10,24,40,94,-54
16/17,20,Granada CF,20,38,4,8,26,30,82,-52
17/18,1,FC Barcelona,93,38,28,9,1,99,29,70
17/18,2,Atlético Madrid,79,38,23,10,5,58,22,36
17/18,3,Real Madrid,76,38,22,10,6,94,44,50
17/18,4,Valencia CF,73,38,22,7,9,65,38,27
17/18,5,Villarreal CF,61,38,18,7,13,57,50,7
17/18,6,Real Betis,60,38,18,6,14,60,61,-1
17/18,7,Sevilla FC,58,38,17,7,14,49,58,-9
17/18,8,Getafe CF,55,38,15,10,13,42,33,9
17/18,9,SD Eibar,51,38,14,9,15,44,50,-6
17/18,10,Girona FC,51,38,14,9,15,50,59,-9
17/18,11,RCD Espanyol,49,38,12,13,13,36,42,-6
17/18,12,Real Sociedad,49,38,14,7,17,66,59,7
17/18,13,RC Celta,49,38,13,10,15,59,60,-1
17/18,14,Alavés,47,38,15,2,21,40,50,-10
17/18,15,Levante UD,46,38,11,13,14,44,58,-14
