Season,#,Team,Points,MP,W,D,L,GF,GA,GD,Top Scorer,Top Scorer Goals
14/15,8,Celta Vigo,51,38,13,12,13,47,44,+3,Nolito,13
14/15,9,Málaga,50,38,14,8,16,42,48,-6,Juanmi,8
14/15,10,Espanyol,49,38,13,10,15,47,51,-4,Sergio García,14
14/15,11,Rayo Vallecano,49,38,15,4,19,46,68,-22,Alberto Bueno,17
14/15,12,Real Sociedad,46,38,11,13,14,44,51,-7,Carlos Vela,9
14/15,13,Elche,41,38,11,8,19,35,62,-27,Jonathas,14
14/15,14,Levante,37,38,9,10,19,34,67,-33,David Barral,11
14/15,15,Getafe,37,38,10,7,21,33,64,-31,Álvaro Vázquez,7
14/15,16,Deportivo,35,38,7,14,17,35,60,-25,Lucas Pérez,6
14/15,17,Granada,35,38,7,14,17,29,64,-35,Youssef El-Arabi,8
14/15,18,Eibar,35,38,9,8,21,34,55,-21,Mikel Arruabarrena,9
14/15,19,Almería,29,38,8,8,22,35,64,-29,Tomer Hemed,8
14/15,20,Córdoba,20,38,3,11,24,22,68,-46,Nabil Ghilas,7
15/16,1,Barcelona,91,38,29,4,5,112,29,+83,Luis Suárez,40
15/16,2,Real Madrid,90,38,28,6,4,110,34,+76,Cristiano Ronaldo,35
15/16,3,Atlético Madrid,88,38,28,4,6,63,18,+45,Antoine Griezmann,22
15/16,4,Villarreal,64,38,18,10,10,44,35,+9,Cédric Bakambu,12
15/16,5,Athletic Club,62,38,18,8,12,58,45,+13,Aritz Aduriz,20
15/16,6,Celta Vigo,60,38,17,9,12,51,59,-8,Iago Aspas,13
15/16,7,Sevilla,52,38,14,10,14,51,50,+1,Kévin Gameiro,16
15/16,8,Málaga,48,38,12,12,14,38,35,+3,Charles,12
15/16,9,Real Sociedad,48,38,13,9,16,45,48,-3,Imanol Agirretxe,13
15/16,10,Betis,45,38,11,12,15,34,52,-18,Rubén Castro,19
15/16,11,Las Palmas,44,38,12,8,18,45,53,-8,Jonathan Viera,10
